"Geneid","gene_name","gene_type","SRR18779955","SRR18779956","SRR18779957","SRR18779958","SRR18779959","SRR18779960","SRR18779961","SRR18779962"
"ENSMUSG00000051951.5","Xkr4","protein_coding",11.5166154622278,16.594558007845,28.2961552769564,27.3282496676353,18.3528851521238,12.6332911996356,31.8604713678531,14.951138958193
"ENSMUSG00000102331.1","Gm19938","lncRNA",0,2.07431975098063,5.82567902760867,11.7121070004151,2.03920946134709,2.10554853327259,18.4996285361728,6.40763098208269
"ENSMUSG00000025900.12","Rp1","protein_coding",7.67774364148519,0,19.9737566660869,11.7121070004151,14.2744662294297,4.21109706654519,14.3885999725788,6.40763098208269
"ENSMUSG00000025902.13","Sox17","protein_coding",705.392697061452,666.893799940273,596.715980399346,843.271704029891,708.625287818115,752.733600644953,760.540284264881,730.469931957427
"ENSMUSG00000102269.1","Gm7357","processed_pseudogene",21.1137950140843,14.5202382568644,14.9803174995652,44.8964101682581,31.6077466508799,27.3721309325437,40.082528495041,27.7664009223583
"ENSMUSG00000098104.1","Gm6085","processed_pseudogene",22.0735129692699,20.7431975098063,9.15463847195649,14.6401337505189,10.1960473067355,13.6860654662719,19.5273856770713,19.2228929462481
"ENSMUSG00000103922.1","Gm6123","processed_pseudogene",15.3554872829704,36.300595642161,21.6382363882608,26.3522407509341,34.6665608429006,34.7415507989978,25.6939285224622,26.6984624253446
"ENSMUSG00000033845.13","Mrpl15","protein_coding",2453.9988114097,2152.1067416424,2043.98109882956,1978.37007415346,1934.19017408772,1969.74065287651,2828.38765175264,2402.86161828101
"ENSMUSG00000102275.1","Gm37144","TEC",23.9929488796412,22.8175172607869,26.6316755547825,34.1603120845442,27.5293277281858,43.1637449320882,68.8597284401987,32.0381549104135
"ENSMUSG00000025903.14","Lypla1","protein_coding",2088.34627048397,2008.97867882474,2114.72148702195,1990.08218115387,2057.56234649922,1953.94903887697,2273.39879566745,2013.06406687098
"ENSMUSG00000033813.15","Tcea1","protein_coding",1241.87503401023,1417.79754979526,1333.2482574613,1305.89993054629,1364.23112964121,1170.68498449956,1200.42034056943,1046.57972707351
"ENSMUSG00000062588.4","Gm6104","processed_pseudogene",57.5830773111389,54.9694734009867,60.7535098593476,22.448205084129,25.4901182668387,31.5832279990889,31.8604713678531,17.0870159522205
"ENSMUSG00000033793.12","Atp6v1h","protein_coding",1394.47018888475,1464.46974419233,1514.67654717826,1432.78108971745,1173.56504500525,1388.60925769328,1402.88849732644,1562.39402113116
"ENSMUSG00000025907.14","Rb1cc1","protein_coding",1514.43493328295,1864.81345613159,1746.03922856043,1720.70372014433,1856.70021455653,1664.43611555199,1520.05281138886,2102.77090062014
"ENSMUSG00000090031.2","4732440D04Rik","lncRNA",325.344386807935,301.813523767682,305.432029018912,359.171281346065,251.842368476366,329.518345457161,310.382656551343,393.001366901072
"ENSMUSG00000102135.1","Gm37108","processed_pseudogene",11.5166154622278,13.4830783813741,9.98687833304344,14.6401337505189,8.15683784538837,8.42219413309038,36.9992570723456,25.6305239283308
"ENSMUSG00000051285.17","Pcmtd1","protein_coding",1745.72696048269,1974.75240293356,2161.32691924282,2080.85101040709,2152.38558645186,2121.34014727214,1929.10015346646,2150.82813298576
"ENSMUSG00000103509.1","Gm38372","TEC",48.9456157144681,42.5235548951029,29.1283951380434,111.265016503944,62.1958885710863,45.2692934653608,5.13878570449244,24.562585431317
"ENSMUSG00000048538.7","Gm9826","processed_pseudogene",89.2537698322653,85.0471097902059,46.6054322208694,38.0643477513492,21.4116993441445,42.1109706654519,116.136556921529,40.5816628865237
"ENSMUSG00000097797.6","Gm26901","lncRNA",23.9929488796412,47.7093542725545,24.1349559715217,38.0643477513492,27.5293277281858,26.3193566659074,56.5266427494168,25.6305239283308
"ENSMUSG00000084353.1","Gm15452","processed_pseudogene",259.123847900125,226.100852856889,278.800353464129,186.417703089941,132.548614987561,147.388397329082,173.690956811844,130.288496635681
"ENSMUSG00000061024.8","Rrs1","protein_coding",1286.02205994877,1120.13266552954,966.230478721953,983.816988034872,1005.33026444412,1119.09904543438,937.314512499421,854.350797611026
"ENSMUSG00000025911.14","Adhfe1","protein_coding",1633.43995972597,2141.7351428875,1655.32508370195,1803.66447806393,1452.9367412098,1499.15055569009,1039.06246944837,1692.68251776685
"ENSMUSG00000079671.8","2610203C22Rik","lncRNA",117.085590532649,115.124746179425,104.862222496956,116.14506108745,111.136915643417,93.6969097306305,73.9985141446911,96.1144647312404
"ENSMUSG00000081441.3","Gm6161","processed_pseudogene",13.4360513725991,22.8175172607869,20.8059965271738,37.088338834648,16.3136756907767,22.1082595993622,26.7216856633607,30.9702164133997
"ENSMUSG00000067879.3","Vxn","protein_coding",13.4360513725991,5.18579937745158,11.6513580552173,1.95201783340252,3.05881419202064,5.26387133318149,0,0
"ENSMUSG00000025912.16","Mybl1","protein_coding",704.432979106266,635.779003675563,380.333616516738,528.020823935383,359.920469927762,312.67395719098,326.826770805719,281.935763211639
"ENSMUSG00000045210.8","Vcpip1","protein_coding",904.054313784881,971.818803334426,838.897779975649,1063.84971920438,896.232558262048,925.388580373305,797.539541337226,802.021811257351
"ENSMUSG00000025915.14","Sgk3","protein_coding",687.158055912925,539.323135254964,813.930584143041,715.414535942025,697.409635780706,637.981205581596,678.319712993002,728.3340549634
"ENSMUSG00000046334.4","Gm6195","processed_pseudogene",4.79858977592824,17.6317178833354,6.65791888869563,7.8080713336101,11.215652037409,14.7388397329082,16.4441142543758,21.3587699402756
"ENSMUSG00000046101.16","Mcmdc2","protein_coding",12.4763334174134,13.4830783813741,33.2895944434781,21.4721961674278,14.2744662294297,18.9499367994534,16.4441142543758,26.6984624253446
"ENSMUSG00000098234.7","Snhg6","lncRNA",925.168108798965,778.907066493227,852.21361775304,891.096140948252,652.54702763107,833.797219175947,1363.83372597229,950.465262342266
"ENSMUSG00000099032.2","Tcf24","protein_coding",23.9929488796412,18.6688777588257,27.4639154158695,37.088338834648,24.4705135361651,14.7388397329082,14.3885999725788,36.3099088984686
"ENSMUSG00000025917.9","Cops5","protein_coding",3168.02897006783,3284.68532567783,3425.4992682339,3261.82179961562,2946.65767164655,3179.37828524162,4067.86276367621,3704.67864614081
"ENSMUSG00000056763.16","Cspp1","protein_coding",713.070440702937,694.897116578511,726.54539872891,967.224836450951,718.82133512485,660.089465180958,954.786383894695,769.983656346937
"ENSMUSG00000067851.11","Arfgef1","protein_coding",2113.2989373188,2016.23879795317,2793.8292136689,2419.52610450243,2332.85562378107,2527.71101419375,1870.51799643525,1981.02591196057
"ENSMUSG00000048960.13","Prex2","protein_coding",633.413850422528,712.528834461847,521.81439290152,527.044815018682,623.998095172211,515.859390651786,483.045856222289,592.705865842649
"ENSMUSG00000057715.13","A830018L16Rik","protein_coding",7.67774364148519,0,6.65791888869563,7.8080713336101,8.15683784538837,12.6332911996356,4.11102856359395,12.8152619641654
"ENSMUSG00000016918.15","Sulf1","protein_coding",2091.22542434953,1964.38080417866,2080.59965271738,1730.46380931134,2611.20771525495,2220.30092833595,2371.03572405281,1771.70996654587
"ENSMUSG00000025938.16","Slco5a1","protein_coding",109.407846891164,80.8984702882446,42.4442329154346,80.0327311695035,61.1762838404128,27.3721309325437,30.8327142269546,25.6305239283308
"ENSMUSG00000005886.14","Ncoa2","protein_coding",1834.98073031496,2030.75903621004,1622.03548925847,1586.99049855625,2097.32693099549,1757.08025101598,1335.05652602714,1639.28559291616
"ENSMUSG00000103085.1","Gm38120","TEC",11.5166154622278,1.03715987549032,22.4704762493477,9.76008916701262,4.07841892269419,4.21109706654519,0,4.27175398805513
"ENSMUSG00000025935.10","Tram1","protein_coding",2120.0169630051,1727.90835256687,2184.62963535325,1943.23375315221,1866.89626186326,1917.1019395447,2847.91503742971,2091.02357715299
"ENSMUSG00000025937.6","Lactb2","protein_coding",1158.37957190908,1040.27135511679,990.365434693475,950.63268486703,962.506865755828,966.446776772121,1077.08948366161,967.552278294487
"ENSMUSG00000102982.1","Gm38319","TEC",23.9929488796412,21.7803573852966,6.65791888869563,41.9683834181543,12.2352567680826,12.6332911996356,0,5.33969248506891
"ENSMUSG00000025932.14","Eya1","protein_coding",23.9929488796412,30.0776363892192,19.9737566660869,25.3762318342328,28.5489324588593,38.952647865543,43.1657999177365,53.3969248506891
"ENSMUSG00000025930.6","Msc","protein_coding",186.185283306016,141.053743066683,228.865961798912,263.522407509341,178.430827867871,241.085307059712,281.605456606186,174.073975013247
"ENSMUSG00000103492.1","Gm37412","TEC",8.63746159667084,8.29727900392252,13.3158377773913,7.8080713336101,16.3136756907767,7.36941986645408,3.08327142269546,8.54350797611026
"ENSMUSG00000081201.1","Smt3h2-ps4","processed_pseudogene",0.959717955185649,13.4830783813741,9.15463847195649,9.76008916701262,8.15683784538837,11.5805169329993,17.4718713952743,2.13587699402756
"ENSMUSG00000082193.1","Rpl5-ps1","processed_pseudogene",8.63746159667084,7.26011912843221,8.32239861086954,13.6641248338177,10.1960473067355,3.15832279990889,9.24981426808639,19.2228929462481
"ENSMUSG00000073737.3","Gm10566","processed_pseudogene",16.315205238156,13.4830783813741,15.8125573606521,20.4961872507265,13.2548614987561,23.1610338659985,16.4441142543758,16.0190774552067
"ENSMUSG00000025925.14","Terf1","protein_coding",385.806617984631,336.039799658862,405.300812349346,444.084057099074,313.018652316779,390.579252922066,461.462956263421,341.74031904441
"ENSMUSG00000043716.13","Rpl7","protein_coding",19050.4014104351,18146.1491815786,21138.8924716086,19032.1738756746,17403.6331478668,18754.120785859,33816.2932069829,29214.525524309
"ENSMUSG00000025921.7","Rdh10","protein_coding",309.988899524965,319.445241651017,261.323316381303,300.610746343989,276.312882012531,282.143503458528,327.854527946618,303.294533151914
"ENSMUSG00000025920.19","Stau2","protein_coding",1084.48128935978,1153.32178154523,1013.66815080391,864.743900197318,1086.898642898,975.921745171848,1040.09022658927,1047.64766557052
"ENSMUSG00000025939.18","Ube2w","protein_coding",810.961672131873,833.876539894214,844.723459003258,888.168114198149,757.566314890445,767.472440377861,972.258255289969,829.788212179709
"ENSMUSG00000079658.9","Eloc","protein_coding",2734.23645432391,2780.62562618954,2931.14879074825,2930.95477685389,2221.71870813766,2461.38623539566,3579.67812174943,3060.7117324415
"ENSMUSG00000025940.6","Tmem70","protein_coding",2699.68660793723,2869.8213754817,2516.69333992695,2383.41377458448,2691.75648897816,2547.71372525984,3194.2691939125,3108.76896480712
"ENSMUSG00000025779.10","Ly96","protein_coding",99.8106673393075,67.4153919068705,84.0562259697823,78.080713336101,56.0782601870451,81.0636185309949,83.2483284127775,104.657972707351
"ENSMUSG00000042686.5","Jph1","protein_coding",422.275900281685,443.904426709855,522.646632762607,462.628226516398,457.802524072423,415.845835321337,252.828256661028,275.528132229556
