"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","gene_type"
"ENSMUSG00000049001.5",1434.23374487581,3.1371347253199,0.153979451615873,20.3737231974691,2.86079043686665e-92,4.91426581244954e-88,"Ndnf","protein_coding"
"ENSMUSG00000048038.8",213.386313930335,2.10054352283056,0.195600714402606,10.7389358430818,6.68100125443384e-27,5.73831197743323e-23,"Ccdc187","protein_coding"
"ENSMUSG00000024743.16",2395.12883898401,1.33167629617126,0.126051453469141,10.564545346534,4.35071764839761e-26,2.49122092547247e-22,"Syt7","protein_coding"
"ENSMUSG00000036123.8",85.4564164944023,2.21932444768096,0.324249231152746,6.84450180434043,7.6742470352158e-12,3.29570538927343e-08,"Slc9a3","protein_coding"
"ENSMUSG00000056665.2",268.154172235621,1.29905701437286,0.192136567460529,6.76111284563119,1.3693581159708e-11,4.70456674322928e-08,"Them6","protein_coding"
"ENSMUSG00000055632.18",253.496496117976,1.20177538142747,0.182166227228188,6.59713603181827,4.19176129155194e-11,1.20010125777132e-07,"Hmcn2","protein_coding"
"ENSMUSG00000022206.7",2199.81014021327,-0.851140937262511,0.148535064646977,-5.7302357479388,1.00291151582805e-08,2.15350175236178e-05,"Npr3","protein_coding"
"ENSMUSG00000037185.9",352.45604475837,1.64350893643641,0.285754430027804,5.75147316623051,8.84691247332399e-09,2.15350175236178e-05,"Krt80","protein_coding"
"ENSMUSG00000031097.15",268.928531471316,1.30695416801294,0.231590797502479,5.64337694807991,1.66746715903674e-08,3.18263898421479e-05,"Tnni2","protein_coding"
"ENSMUSG00000033595.7",279.596964286046,0.995734514916467,0.178196994575813,5.58783001524102,2.29924535440432e-08,3.94964366979574e-05,"Lgi3","protein_coding"
"ENSMUSG00000097159.1",32.6357391819732,2.77201955649963,0.504250595996336,5.49730546380906,3.85638363861939e-08,6.02226892220035e-05,"Gm26517","lncRNA"
"ENSMUSG00000031824.15",1113.93623219639,0.780336138410083,0.148159218701019,5.26687536051859,1.38765351210727e-07,0.000196820846005913,"6430548M08Rik","protein_coding"
"ENSMUSG00000032420.8",727.523851667766,0.6850584599128,0.130391651523057,5.25385215932835,1.48950459778605e-07,0.000196820846005913,"Nt5e","protein_coding"
"ENSMUSG00000044667.12",53.8927390226927,2.04870064968616,0.394522593451787,5.19286013954617,2.07087755733609e-07,0.000233127744886358,"Plppr4","protein_coding"
"ENSMUSG00000031665.7",350.267309474846,-0.818120183885357,0.157468560788963,-5.19545095088402,2.04224178449897e-07,0.000233127744886358,"Sall1","protein_coding"
"ENSMUSG00000110631.1",5894.77613046115,1.07762307745705,0.207873576875443,5.18403105221378,2.17140756676082e-07,0.000233127744886358,"Gm42047","lncRNA"
"ENSMUSG00000047534.17",799.805520268156,0.71472186918343,0.140514462595894,5.08646480924103,3.647993706777e-07,0.000368619034676561,"Mis18bp1","protein_coding"
"ENSMUSG00000007122.11",1134.75675404197,1.53479741346179,0.302762487530034,5.06931167722533,3.99256961341421e-07,0.000381024226773497,"Casq1","protein_coding"
"ENSMUSG00000031441.15",6093.83125646492,0.570162130472446,0.11270834560555,5.05873923895455,4.22037520666587e-07,0.00038156634368477,"Atp11a","protein_coding"
"ENSMUSG00000033952.14",1630.65772755643,0.860699621927235,0.170874422744077,5.03703016580971,4.72810290584441e-07,0.000406096758582977,"Aspm","protein_coding"
"ENSMUSG00000064358.1",3825.68891497526,-0.6733328175563,0.13469274374691,-4.99902814973838,5.76199913166952e-07,0.000471331528970567,"mt-Co3","protein_coding"
"ENSMUSG00000021898.14",293.328786115137,-1.55788036030646,0.32108354201128,-4.85194709933694,1.22255236640683e-06,0.000954591115915299,"Asb14","protein_coding"
"ENSMUSG00000026605.14",2434.09750429092,0.859062562498107,0.178287153523457,4.8184209883921,1.44698805620044e-06,0.00103568170122547,"Cenpf","protein_coding"
"ENSMUSG00000031778.13",210.007675611805,0.952038828449596,0.197399483662433,4.82290435003187,1.41482827384907e-06,0.00103568170122547,"Cx3cl1","protein_coding"
"ENSMUSG00000043621.13",38.4651054768072,-2.0572321667718,0.430807896902242,-4.77528889689463,1.79449449725636e-06,0.00123303305895479,"Ubxn10","protein_coding"
"ENSMUSG00000024112.16",2745.72206527084,0.99975365275269,0.213695020915006,4.67841341586675,2.89103201273887e-06,0.00191008261210878,"Cacna1h","protein_coding"
"ENSMUSG00000042064.13",57.4548713896531,1.61081021325793,0.348719981976662,4.61920823730064,3.85207118055872e-06,0.00245077328665325,"Myo3b","protein_coding"
"ENSMUSG00000029223.12",1509.52607332683,0.679300909773537,0.147485247439924,4.60589056576821,4.10704347390566e-06,0.00251967117124112,"Uchl1","protein_coding"
"ENSMUSG00000034413.14",1932.76761233231,0.884632718701659,0.192845771999161,4.58725493191268,4.49112140476645e-06,0.00266029253417511,"Neurl1b","protein_coding"
"ENSMUSG00000026039.9",589.758212522666,0.746574014293819,0.163078097246485,4.57801523870743,4.69408504865514e-06,0.00268783309885993,"Sgo2a","protein_coding"
"ENSMUSG00000049091.6",1059.97131247637,0.508673040373762,0.11185510895827,4.54760667716601,5.42594189883862e-06,0.00300667193349193,"Sephs2","protein_coding"
"ENSMUSG00000035000.8",525.617808563515,-0.801717094288145,0.177127855541475,-4.52620561479343,6.00521541930843e-06,0.00322367470227751,"Dpp4","protein_coding"
"ENSMUSG00000020330.16",2089.55908724661,0.717923015875402,0.159226960847288,4.50880310755884,6.51943766325087e-06,0.00339366364179768,"Hmmr","protein_coding"
"ENSMUSG00000023913.17",185.418448914219,-1.2987520364856,0.292143194964167,-4.44560085216053,8.76465505875988e-06,0.00442821307645227,"Pla2g7","protein_coding"
"ENSMUSG00000106685.3",380.323926473867,-0.943191188479983,0.212553818823848,-4.43742292516345,9.10423050709726e-06,0.00446835633288334,"Rasgrp2","protein_coding"
"ENSMUSG00000055912.8",72.0909802568187,2.5718954126285,0.58101229416428,4.42657657757119,9.57404037823128e-06,0.00456841293381269,"Tmem150a","protein_coding"
"ENSMUSG00000073535.5",481.614345700213,0.811618173882437,0.184609077012727,4.39641531725161,1.10053268065539e-05,0.00506730517196409,"Gm5532","lncRNA"
"ENSMUSG00000067338.6",60.7023181731101,1.52250234895381,0.346865452577126,4.38931677295039,1.13707336275568e-05,0.00506730517196409,"Tuba3b","protein_coding"
"ENSMUSG00000005470.8",1174.54928230786,0.665769137973931,0.151767440845671,4.386771854781,1.15045349695308e-05,0.00506730517196409,"Asf1b","protein_coding"
